Population,MortalityRate,NatalityRate,GDP,GDP_PC
5608539,,6.87,,
5679458,,6.95,,
5735044,,7.04,,
5770570,,7.12,,
5781214,,7.19,,
5774243,,7.27,,
5771652,,7.33,,
5803254,,7.39,,
5890365,,7.43,,
6040777,,7.47,,
6248552,,7.49,,
6496962,,7.5,,
6761380,,7.5,,
7024000,,7.49,,
7279509,,7.49,,
7533735,,7.48,,
7790707,,7.47,,
8058067,,7.46,,
8341289,,7.46,5934073603.54849,711.40957856021
8640446,,7.46,5553824463.82274,642.768196831557
8952950,,7.46,5553824463.82274,620.333123364606
9278096,,7.46,5787823808.69565,623.815362351581
9614754,,7.46,6135166254.2408,638.099006801712
9961997,4.182195269561021,7.45,7558613007.90635,758.745063152158
10320111,4.172530618841881,7.44,7076793822.60201,685.728127726666
10689250,4.166897817966037,7.41,8089279284.72241,756.767926189975
11068050,4.1671293346949705,7.37,8775116269.16722,792.833017228347
11454777,4.162802196881233,7.33,10207922517.1839,891.149280264381
11848386,4.1642806171474005,7.27,11236275842.7358,948.338177965671
12248901,4.1624142443473096,7.21,,
12657366,4.159160823492353,7.14,,
13075049,4.154785253495132,7.07,,
13503747,4.13329538832649,6.99,3390500000.0,251.078348367302
13945206,4.100047292241312,6.92,5561222222.22222,398.79099821209
14400719,4.046186017617728,6.85,7526963963.96396,522.679624255226
14871570,3.9658215015870546,6.79,7649716157.20524,514.385174425759
15359601,3.870999244771999,6.73,6506619144.60285,423.619048972815
